step,split,matmul,mae,rmse,max_abs
0,train,model.layers.23.self_attn.v_proj,0.14716750383377075,0.20864228904247284,0.8322741389274597
0,train,model.layers.23.self_attn.o_proj,0.02634274587035179,0.06187159940600395,3.2163758277893066
0,train,model.layers.23.mlp.gate_proj,0.12528498470783234,0.18632136285305023,1.503868579864502
0,train,model.layers.23.mlp.up_proj,0.12539635598659515,0.1861191987991333,1.7972917556762695
0,train,model.layers.23.mlp.down_proj,0.1903025507926941,0.39947038888931274,7.932823181152344
0,train,lm_head,0.15199396014213562,0.18934375047683716,0.8490171432495117
0,eval,model.layers.0.self_attn.q_proj,0.009787133894860744,0.016930432990193367,0.16754150390625
0,eval,model.layers.0.self_attn.k_proj,0.026409871876239777,0.057437777519226074,0.43695068359375
0,eval,model.layers.0.self_attn.v_proj,0.0006565756630152464,0.0008569404017180204,0.005243659019470215
0,eval,model.layers.0.self_attn.o_proj,0.00034924791543744504,0.00048748537665233016,0.006413668394088745
0,eval,model.layers.0.mlp.gate_proj,0.016147490590810776,0.023175707086920738,0.45088791847229004
0,eval,model.layers.0.mlp.up_proj,0.008710396476089954,0.011432457715272903,0.18740564584732056
0,eval,model.layers.0.mlp.down_proj,0.004917351063340902,0.006636272184550762,0.09364032745361328
0,eval,model.layers.1.self_attn.q_proj,0.021709110587835312,0.03029455989599228,0.2353076934814453
0,eval,model.layers.1.self_attn.k_proj,0.032674483954906464,0.05009261891245842,0.479522705078125
0,eval,model.layers.1.self_attn.v_proj,0.006396475713700056,0.008191974833607674,0.030759304761886597
0,eval,model.layers.1.self_attn.o_proj,0.0030589750967919827,0.004081473685801029,0.043695300817489624
0,eval,model.layers.1.mlp.gate_proj,0.021378500387072563,0.02839806117117405,0.4469335079193115
0,eval,model.layers.1.mlp.up_proj,0.01378375943750143,0.01752367988228798,0.11003383994102478
0,eval,model.layers.1.mlp.down_proj,0.006186776328831911,0.007955964654684067,0.07583451271057129
0,eval,model.layers.2.self_attn.q_proj,0.02342894859611988,0.031846486032009125,0.18651604652404785
0,eval,model.layers.2.self_attn.k_proj,0.034369226545095444,0.046405140310525894,0.19684982299804688
0,eval,model.layers.2.self_attn.v_proj,0.00980941578745842,0.012672861106693745,0.05056029558181763
0,eval,model.layers.2.self_attn.o_proj,0.0034122958313673735,0.004505025688558817,0.03331160545349121
0,eval,model.layers.2.mlp.gate_proj,0.026294974610209465,0.033893514424562454,0.3819541931152344
0,eval,model.layers.2.mlp.up_proj,0.018411096185445786,0.02360559068620205,0.4845461845397949
0,eval,model.layers.2.mlp.down_proj,0.013110310770571232,0.08368047326803207,6.8448486328125
0,eval,model.layers.3.self_attn.q_proj,0.02471415139734745,0.037130311131477356,0.2871466875076294
0,eval,model.layers.3.self_attn.k_proj,0.03545727580785751,0.05000672489404678,0.21857929229736328
0,eval,model.layers.3.self_attn.v_proj,0.01698121428489685,0.02263268269598484,0.07846984267234802
0,eval,model.layers.3.self_attn.o_proj,0.0032862662337720394,0.004582269582897425,0.030577927827835083
0,eval,model.layers.3.mlp.gate_proj,0.029076533392071724,0.03870651498436928,0.24697065353393555
0,eval,model.layers.3.mlp.up_proj,0.02165943756699562,0.0291280597448349,0.2429896593093872
0,eval,model.layers.3.mlp.down_proj,0.014752489514648914,0.10656160861253738,8.751953125
0,eval,model.layers.4.self_attn.q_proj,0.025231439620256424,0.034894801676273346,0.17536985874176025
0,eval,model.layers.4.self_attn.k_proj,0.030620433390140533,0.04221896454691887,0.18019771575927734
0,eval,model.layers.4.self_attn.v_proj,0.023643601685762405,0.03268538787961006,0.18152451515197754
0,eval,model.layers.4.self_attn.o_proj,0.005091819912195206,0.007298670243471861,0.057976484298706055
0,eval,model.layers.4.mlp.gate_proj,0.03019687347114086,0.041538313031196594,0.28751087188720703
0,eval,model.layers.4.mlp.up_proj,0.02264622412621975,0.030410269275307655,0.15455949306488037
0,eval,model.layers.4.mlp.down_proj,0.011444563046097755,0.015358192846179008,0.0735936164855957
0,eval,model.layers.5.self_attn.q_proj,0.027525758370757103,0.03924683481454849,0.3152618408203125
